text,label
Rain expected in northern regions tomorrow,REAL
Government approves new infrastructure project,REAL
New medical college inaugurated in city,REAL
Fuel prices drop after global changes,REAL
New railway line opened for passengers,REAL
Schools reopen after summer vacation,REAL
Farmers begin harvesting crops,REAL
Public transport services expanded,REAL
Internet outage reported in several areas,REAL
New sports stadium completed,REAL
Vaccination rates increase nationwide,REAL
New technology conference begins today,REAL
Tourism industry shows recovery signs,REAL
New housing scheme launched by government,REAL
Bank introduces new savings policy,REAL
University announces scholarship program,REAL
Weather remains cloudy throughout week,REAL
Local market prices increase,REAL
Power outage affects thousands,REAL
Flood relief teams deployed,REAL
Fish swim in water,REAL
Birds build nests in trees,REAL
Humans require water to live,REAL
Plants grow toward sunlight,REAL
Earth rotates on its axis,REAL
Moon reflects sunlight,REAL
Sound cannot travel in vacuum,REAL
Ice floats on water,REAL
Fire needs oxygen to burn,REAL
Humans breathe air,REAL
Cats hunt small animals,REAL
Dogs wag their tails,REAL
Trees provide shade,REAL
Rain nourishes plants,REAL
Snow forms in cold climates,REAL
Deserts have little rainfall,REAL
Oceans cover most of Earth,REAL
Mountains are formed by tectonic activity,REAL
Rivers flow downhill,REAL
Lightning produces thunder,REAL
Secret alien council controls world governments,FAKE
Scientists create portal to parallel universe,FAKE
People gain superpowers after solar storm,FAKE
Invisible cities discovered on Mars,FAKE
Ocean water turning into fuel mysteriously,FAKE
Ancient dragon found alive in cave,FAKE
Robot army secretly built underground,FAKE
Time travelers influencing elections,FAKE
Mass teleportation device tested secretly,FAKE
Earth hollow with hidden civilization,FAKE
Moon is artificial satellite created by aliens,FAKE
People turning into glass statues overnight,FAKE
New virus makes humans glow in dark,FAKE
Mountains moving across continents,FAKE
Animals suddenly speaking human language,FAKE
Floating cities appear above oceans,FAKE
Gravity weakening worldwide,FAKE
Secret machine controlling weather globally,FAKE
Human cloning factory discovered,FAKE
Government planning mind control program,FAKE
Sun will explode next year according to report,FAKE
Ocean drained by unknown force,FAKE
New continent emerges overnight,FAKE
Giant creatures spotted beneath Antarctica,FAKE
Plants evolving to walk like animals,FAKE
Mass disappearance of shadows reported,FAKE
Artificial humans replacing population,FAKE
Sky turning permanently red,FAKE
Time loop traps city residents,FAKE
Digital ghosts infecting computers,FAKE
Teleportation booths installed secretly,FAKE
Earth shifting closer to sun each year,FAKE
Rain falling upward in some regions,FAKE
Humans growing wings due to mutation,FAKE
Unknown energy field freezes objects midair,FAKE
Cities appearing and disappearing randomly,FAKE
Global blackout caused by alien signal,FAKE
People aging backward suddenly,FAKE
Hidden underwater cities discovered,FAKE
Machines developing emotions secretly,FAKE
Forest disappears overnight without trace,FAKE
Unknown species of giants discovered,FAKE
Moon changing shape daily,FAKE
Stars falling to Earth intact,FAKE
Entire country becomes invisible,FAKE
New dimension accessible through mirrors,FAKE
Objects moving on their own worldwide,FAKE
Secret formula turns water into gold,FAKE
Mass hypnosis event affects millions,FAKE
Planet-sized object approaching Earth unnoticed,FAKE
Weather stuck on permanent storm mode,FAKE
Artificial intelligence gains control of satellites,FAKE
Ocean creatures attacking coastal cities,FAKE
Solar flare grants people psychic powers,FAKE
Humans no longer need sleep due to mutation,FAKE
New mineral makes objects weightless,FAKE
Mass spontaneous combustion events reported,FAKE
Sky cracks open revealing another world,FAKE
Global magnetic poles shifting daily,FAKE
Underground tunnels spanning continents discovered,FAKE
Unknown civilization broadcasting signals,FAKE
Scientists revive prehistoric monsters,FAKE
Plants growing at impossible speeds overnight,FAKE
Time slowing down in certain regions,FAKE